application_id,field,original_value,cleaned_value,issue_type,action
INT-10528,skills,"SQL, Git, Pandas, Machine Learning, HTML/CSS","SQL, Git, Pandas, Machine Learning, Html, Css",Skills formatting,Standardized delimiters and labels
INT-10294,skills,"Excel, Statistics, Pandas, HTML/CSS","Excel, Statistics, Pandas, Html, Css",Skills formatting,Standardized delimiters and labels
INT-10301,skills,power bi; Machine Learning; Statistics; Git; Excel,"Power BI, Machine Learning, Statistics, Git, Excel",Skills formatting,Standardized delimiters and labels
INT-10840,skills,SQL / git / Tableau,"SQL, Git, Tableau",Skills formatting,Standardized delimiters and labels
INT-10525,skills,"HTML/CSS, Excel, SQL, Communication, Data Visualization","Html, Css, Excel, SQL, Communication, Data Visualization",Skills formatting,Standardized delimiters and labels
INT-10663,skills,"Machine Learning, Python, Statistics, HTML/CSS, Power BI, Git","Machine Learning, Python, Statistics, Html, Css, Power BI, Git",Skills formatting,Standardized delimiters and labels
INT-10101,skills,"Excel, HTML/CSS, Python, Tableau, Statistics, Data Visualization","Excel, Html, Css, Python, Tableau, Statistics, Data Visualization",Skills formatting,Standardized delimiters and labels
INT-10655,skills,"SQL, Communication, Pandas, Power BI, HTML/CSS","SQL, Communication, Pandas, Power BI, Html, Css",Skills formatting,Standardized delimiters and labels
INT-20026,skills,"HTML/CSS, Communication, Data Visualization, SQL, Python, Statistics","Html, Css, Communication, Data Visualization, SQL, Python, Statistics",Skills formatting,Standardized delimiters and labels
INT-10717,skills,"HTML/CSS, Statistics, Python, SQL, Communication, Git","Html, Css, Statistics, Python, SQL, Communication, Git",Skills formatting,Standardized delimiters and labels
INT-10019,skills,Data Visualization / Pandas / html/css / sql,"Data Visualization, Pandas, Html, Css, SQL",Skills formatting,Standardized delimiters and labels
INT-10047,skills,"HTML/CSS, Excel, Statistics, Data Visualization","Html, Css, Excel, Statistics, Data Visualization",Skills formatting,Standardized delimiters and labels
INT-10021,skills,HTML/CSS; Data Visualization; tableau,"Html, Css, Data Visualization, Tableau",Skills formatting,Standardized delimiters and labels
INT-10219,skills,"Power BI, Machine Learning, Excel, HTML/CSS, Python, Statistics","Power BI, Machine Learning, Excel, Html, Css, Python, Statistics",Skills formatting,Standardized delimiters and labels
INT-10451,skills,"HTML/CSS, Data Visualization, Machine Learning","Html, Css, Data Visualization, Machine Learning",Skills formatting,Standardized delimiters and labels
INT-10512,skills,"SQL, Machine Learning, Statistics, Git, HTML/CSS, Communication","SQL, Machine Learning, Statistics, Git, Html, Css, Communication",Skills formatting,Standardized delimiters and labels
INT-10745,skills,Tableau; Python; Machine Learning; statistics,"Tableau, Python, Machine Learning, Statistics",Skills formatting,Standardized delimiters and labels
INT-10448,skills,"Pandas, HTML/CSS, Power BI, Machine Learning, Excel","Pandas, Html, Css, Power BI, Machine Learning, Excel",Skills formatting,Standardized delimiters and labels
INT-10748,skills,"Machine Learning, HTML/CSS, Pandas","Machine Learning, Html, Css, Pandas",Skills formatting,Standardized delimiters and labels
INT-10736,skills,"Power BI, SQL, Statistics, HTML/CSS, Tableau, Pandas","Power BI, SQL, Statistics, Html, Css, Tableau, Pandas",Skills formatting,Standardized delimiters and labels
INT-10092,skills,"Excel, Machine Learning, HTML/CSS, Statistics","Excel, Machine Learning, Html, Css, Statistics",Skills formatting,Standardized delimiters and labels
INT-10459,skills,"Communication, Statistics, HTML/CSS, Tableau, Data Visualization","Communication, Statistics, Html, Css, Tableau, Data Visualization",Skills formatting,Standardized delimiters and labels
INT-10386,skills,HTML/CSS / Power BI / tableau / Communication,"Html, Css, Power BI, Tableau, Communication",Skills formatting,Standardized delimiters and labels
INT-10090,skills,"Python, Statistics, HTML/CSS, Tableau","Python, Statistics, Html, Css, Tableau",Skills formatting,Standardized delimiters and labels
INT-10773,skills,"Pandas, Statistics, Tableau, SQL, HTML/CSS, Excel","Pandas, Statistics, Tableau, SQL, Html, Css, Excel",Skills formatting,Standardized delimiters and labels
INT-10076,skills,"HTML/CSS, Power BI, Pandas, Git, Excel","Html, Css, Power BI, Pandas, Git, Excel",Skills formatting,Standardized delimiters and labels
INT-10232,skills,"HTML/CSS, SQL, Communication, Statistics, Git, Power BI","Html, Css, SQL, Communication, Statistics, Git, Power BI",Skills formatting,Standardized delimiters and labels
INT-10431,skills,"Statistics, Excel, HTML/CSS, SQL, Pandas, Communication","Statistics, Excel, Html, Css, SQL, Pandas, Communication",Skills formatting,Standardized delimiters and labels
INT-10813,skills,git / Machine Learning / SQL / Python,"Git, Machine Learning, SQL, Python",Skills formatting,Standardized delimiters and labels
INT-10660,skills,"Data Visualization, HTML/CSS, Git, Power BI, SQL","Data Visualization, Html, Css, Git, Power BI, SQL",Skills formatting,Standardized delimiters and labels
INT-10595,skills,"SQL, HTML/CSS, Excel, Tableau","SQL, Html, Css, Excel, Tableau",Skills formatting,Standardized delimiters and labels
INT-10211,skills,Communication / pandas / machine learning / statistics / Data Visualization,"Communication, Pandas, Machine Learning, Statistics, Data Visualization",Skills formatting,Standardized delimiters and labels
INT-10621,skills,"Tableau, SQL, Statistics, Communication, Python, HTML/CSS","Tableau, SQL, Statistics, Communication, Python, Html, Css",Skills formatting,Standardized delimiters and labels
INT-10404,skills,"SQL, HTML/CSS, Tableau, Excel","SQL, Html, Css, Tableau, Excel",Skills formatting,Standardized delimiters and labels
INT-10253,skills,"HTML/CSS, Statistics","Html, Css, Statistics",Skills formatting,Standardized delimiters and labels
INT-10738,skills,"Tableau, Pandas, Data Visualization, Python, Machine Learning, HTML/CSS","Tableau, Pandas, Data Visualization, Python, Machine Learning, Html, Css",Skills formatting,Standardized delimiters and labels
INT-10037,skills,sql | excel,"SQL, Excel",Skills formatting,Standardized delimiters and labels
INT-10013,skills,"SQL, HTML/CSS, Power BI, Machine Learning","SQL, Html, Css, Power BI, Machine Learning",Skills formatting,Standardized delimiters and labels
INT-10438,skills,"Pandas, HTML/CSS, Data Visualization, Power BI, Python","Pandas, Html, Css, Data Visualization, Power BI, Python",Skills formatting,Standardized delimiters and labels
INT-10665,skills,"HTML/CSS, Power BI, Communication, Python, Statistics, Tableau","Html, Css, Power BI, Communication, Python, Statistics, Tableau",Skills formatting,Standardized delimiters and labels
INT-10157,skills,"HTML/CSS, Python, Communication, Pandas","Html, Css, Python, Communication, Pandas",Skills formatting,Standardized delimiters and labels
INT-10841,skills,"HTML/CSS, Data Visualization, Tableau, SQL","Html, Css, Data Visualization, Tableau, SQL",Skills formatting,Standardized delimiters and labels
INT-10228,skills,"Tableau, Machine Learning, Communication, HTML/CSS, Excel","Tableau, Machine Learning, Communication, Html, Css, Excel",Skills formatting,Standardized delimiters and labels
INT-10049,skills,"HTML/CSS, SQL, Excel","Html, Css, SQL, Excel",Skills formatting,Standardized delimiters and labels
INT-10248,skills,Machine Learning | Statistics,"Machine Learning, Statistics",Skills formatting,Standardized delimiters and labels
INT-10567,skills,Machine Learning; Pandas; power bi; Excel,"Machine Learning, Pandas, Power BI, Excel",Skills formatting,Standardized delimiters and labels
INT-10400,skills,"Pandas, HTML/CSS, SQL, Machine Learning, Power BI","Pandas, Html, Css, SQL, Machine Learning, Power BI",Skills formatting,Standardized delimiters and labels
INT-10237,skills,"Statistics, HTML/CSS, Machine Learning, Data Visualization, Git, Excel","Statistics, Html, Css, Machine Learning, Data Visualization, Git, Excel",Skills formatting,Standardized delimiters and labels
INT-10198,skills,"Data Visualization, Machine Learning, Communication, HTML/CSS, Pandas","Data Visualization, Machine Learning, Communication, Html, Css, Pandas",Skills formatting,Standardized delimiters and labels
INT-10086,skills,"Statistics, Git, HTML/CSS, Data Visualization, Communication, Python","Statistics, Git, Html, Css, Data Visualization, Communication, Python",Skills formatting,Standardized delimiters and labels
INT-10644,skills,"HTML/CSS, Machine Learning, Git","Html, Css, Machine Learning, Git",Skills formatting,Standardized delimiters and labels
INT-10530,skills,"SQL, Machine Learning, Data Visualization, HTML/CSS, Git, Python","SQL, Machine Learning, Data Visualization, Html, Css, Git, Python",Skills formatting,Standardized delimiters and labels
INT-10575,skills,"Statistics, Communication, HTML/CSS, Python, Excel, SQL","Statistics, Communication, Html, Css, Python, Excel, SQL",Skills formatting,Standardized delimiters and labels
INT-10303,skills,HTML/CSS; tableau; excel; statistics; Communication,"Html, Css, Tableau, Excel, Statistics, Communication",Skills formatting,Standardized delimiters and labels
INT-10452,skills,communication / git / HTML/CSS / Pandas / powerbi,"Communication, Git, Html, Css, Pandas, Power BI",Skills formatting,Standardized delimiters and labels
INT-10792,skills,"Pandas, HTML/CSS, Power BI, Machine Learning","Pandas, Html, Css, Power BI, Machine Learning",Skills formatting,Standardized delimiters and labels
INT-10838,skills,"HTML/CSS, Excel, Power BI, Git, Data Visualization","Html, Css, Excel, Power BI, Git, Data Visualization",Skills formatting,Standardized delimiters and labels
INT-10017,skills,"Python, Tableau, Communication, SQL, HTML/CSS, Pandas","Python, Tableau, Communication, SQL, Html, Css, Pandas",Skills formatting,Standardized delimiters and labels
INT-20008,skills,"Statistics, Git, HTML/CSS, Data Visualization, Communication, Python","Statistics, Git, Html, Css, Data Visualization, Communication, Python",Skills formatting,Standardized delimiters and labels
INT-10556,skills,"Machine Learning, Pandas, Tableau, HTML/CSS","Machine Learning, Pandas, Tableau, Html, Css",Skills formatting,Standardized delimiters and labels
INT-10080,skills,git | power bi | pandas | Python | machine learning,"Git, Power BI, Pandas, Python, Machine Learning",Skills formatting,Standardized delimiters and labels
INT-10173,skills,"HTML/CSS, Communication, Data Visualization, SQL, Python, Statistics","Html, Css, Communication, Data Visualization, SQL, Python, Statistics",Skills formatting,Standardized delimiters and labels
INT-10680,skills,"Communication, HTML/CSS, Machine Learning, Tableau, Power BI","Communication, Html, Css, Machine Learning, Tableau, Power BI",Skills formatting,Standardized delimiters and labels
INT-10756,skills,excel; Data Visualization; sql; Communication; power bi,"Excel, Data Visualization, SQL, Communication, Power BI",Skills formatting,Standardized delimiters and labels
INT-10200,skills,"HTML/CSS, Pandas, Machine Learning, Git, Excel","Html, Css, Pandas, Machine Learning, Git, Excel",Skills formatting,Standardized delimiters and labels
INT-10426,skills,"Git, Power BI, HTML/CSS","Git, Power BI, Html, Css",Skills formatting,Standardized delimiters and labels
INT-10581,skills,"Pandas, HTML/CSS, Git, Power BI, Data Visualization, Excel","Pandas, Html, Css, Git, Power BI, Data Visualization, Excel",Skills formatting,Standardized delimiters and labels
INT-10539,skills,"Power BI, HTML/CSS, Pandas","Power BI, Html, Css, Pandas",Skills formatting,Standardized delimiters and labels
INT-10493,skills,Excel; Statistics; tableau; communication; SQL,"Excel, Statistics, Tableau, Communication, SQL",Skills formatting,Standardized delimiters and labels
INT-10299,skills,"HTML/CSS, Data Visualization, SQL","Html, Css, Data Visualization, SQL",Skills formatting,Standardized delimiters and labels
INT-10258,skills,"HTML/CSS, Python, Power BI, Statistics","Html, Css, Python, Power BI, Statistics",Skills formatting,Standardized delimiters and labels
INT-10491,skills,"Excel, HTML/CSS, Machine Learning, Git","Excel, Html, Css, Machine Learning, Git",Skills formatting,Standardized delimiters and labels
INT-10499,skills,Python / Data Visualization / Power BI,"Python, Data Visualization, Power BI",Skills formatting,Standardized delimiters and labels
INT-10434,skills,"Communication, SQL, Data Visualization, Pandas, HTML/CSS","Communication, SQL, Data Visualization, Pandas, Html, Css",Skills formatting,Standardized delimiters and labels
INT-10141,skills,"Power BI, HTML/CSS, Excel","Power BI, Html, Css, Excel",Skills formatting,Standardized delimiters and labels
INT-10558,skills,"Machine Learning, HTML/CSS, Excel, Data Visualization, Power BI","Machine Learning, Html, Css, Excel, Data Visualization, Power BI",Skills formatting,Standardized delimiters and labels
INT-10140,skills,"Excel, Communication, Data Visualization, HTML/CSS","Excel, Communication, Data Visualization, Html, Css",Skills formatting,Standardized delimiters and labels
INT-10526,skills,"SQL, Git, Data Visualization, HTML/CSS, Tableau, Machine Learning","SQL, Git, Data Visualization, Html, Css, Tableau, Machine Learning",Skills formatting,Standardized delimiters and labels
INT-10651,skills,"HTML/CSS, Communication, Tableau","Html, Css, Communication, Tableau",Skills formatting,Standardized delimiters and labels
INT-10315,skills,"Excel, HTML/CSS","Excel, Html, Css",Skills formatting,Standardized delimiters and labels
INT-10587,skills,"Python, Communication, HTML/CSS, Statistics, Power BI","Python, Communication, Html, Css, Statistics, Power BI",Skills formatting,Standardized delimiters and labels
INT-10168,skills,HTML/CSS | Git | pandas | sql,"Html, Css, Git, Pandas, SQL",Skills formatting,Standardized delimiters and labels
INT-10498,skills,"Git, Python, HTML/CSS, Tableau","Git, Python, Html, Css, Tableau",Skills formatting,Standardized delimiters and labels
INT-10075,skills,"Excel, Data Visualization, HTML/CSS, Communication","Excel, Data Visualization, Html, Css, Communication",Skills formatting,Standardized delimiters and labels
INT-10341,skills,Communication / HTML/CSS / python,"Communication, Html, Css, Python",Skills formatting,Standardized delimiters and labels
INT-10205,skills,"Power BI, HTML/CSS","Power BI, Html, Css",Skills formatting,Standardized delimiters and labels
INT-10511,skills,"HTML/CSS, Tableau","Html, Css, Tableau",Skills formatting,Standardized delimiters and labels
INT-10835,skills,Statistics | pandas | Excel | Tableau | Power BI,"Statistics, Pandas, Excel, Tableau, Power BI",Skills formatting,Standardized delimiters and labels
INT-10574,skills,"Machine Learning, Power BI, SQL, HTML/CSS, Data Visualization","Machine Learning, Power BI, SQL, Html, Css, Data Visualization",Skills formatting,Standardized delimiters and labels
INT-10718,skills,"SQL, Excel, HTML/CSS, Pandas, Data Visualization, Git","SQL, Excel, Html, Css, Pandas, Data Visualization, Git",Skills formatting,Standardized delimiters and labels
INT-10693,skills,data visualization; Pandas; HTML/CSS; git; Tableau; machine learning,"Data Visualization, Pandas, Html, Css, Git, Tableau, Machine Learning",Skills formatting,Standardized delimiters and labels
INT-10078,skills,"Git, HTML/CSS, Excel, Data Visualization, Pandas","Git, Html, Css, Excel, Data Visualization, Pandas",Skills formatting,Standardized delimiters and labels
INT-10554,skills,Pandas / Python / Excel / SQL / Machine Learning,"Pandas, Python, Excel, SQL, Machine Learning",Skills formatting,Standardized delimiters and labels
INT-10802,skills,"Excel, Machine Learning, Communication, Statistics, Python, HTML/CSS","Excel, Machine Learning, Communication, Statistics, Python, Html, Css",Skills formatting,Standardized delimiters and labels
INT-10264,skills,"Git, Excel, Statistics, HTML/CSS, Tableau","Git, Excel, Statistics, Html, Css, Tableau",Skills formatting,Standardized delimiters and labels
INT-10033,skills,"Communication, Python, Data Visualization, HTML/CSS","Communication, Python, Data Visualization, Html, Css",Skills formatting,Standardized delimiters and labels
INT-10522,skills,"Python, Excel, HTML/CSS, Machine Learning, Tableau","Python, Excel, Html, Css, Machine Learning, Tableau",Skills formatting,Standardized delimiters and labels
INT-10184,skills,"HTML/CSS, Communication, Python","Html, Css, Communication, Python",Skills formatting,Standardized delimiters and labels
INT-10566,skills,"Pandas, Data Visualization, Machine Learning, Excel, Python, HTML/CSS","Pandas, Data Visualization, Machine Learning, Excel, Python, Html, Css",Skills formatting,Standardized delimiters and labels
INT-10570,skills,"Power BI, HTML/CSS, Machine Learning, Statistics, SQL","Power BI, Html, Css, Machine Learning, Statistics, SQL",Skills formatting,Standardized delimiters and labels
INT-10374,skills,data visualization / SQL / Excel,"Data Visualization, SQL, Excel",Skills formatting,Standardized delimiters and labels
INT-10209,skills,"Statistics, HTML/CSS, Python, Machine Learning, Power BI, Excel","Statistics, Html, Css, Python, Machine Learning, Power BI, Excel",Skills formatting,Standardized delimiters and labels
INT-10578,skills,"Statistics, Excel, Power BI, HTML/CSS, Pandas","Statistics, Excel, Power BI, Html, Css, Pandas",Skills formatting,Standardized delimiters and labels
INT-10602,skills,"Statistics, HTML/CSS, Python, Data Visualization, Pandas, Tableau","Statistics, Html, Css, Python, Data Visualization, Pandas, Tableau",Skills formatting,Standardized delimiters and labels
INT-10432,skills,"HTML/CSS, Machine Learning, Git, Python, SQL, Power BI","Html, Css, Machine Learning, Git, Python, SQL, Power BI",Skills formatting,Standardized delimiters and labels
INT-10795,skills,"HTML/CSS, SQL","Html, Css, SQL",Skills formatting,Standardized delimiters and labels
INT-10555,skills,"Machine Learning, Python, HTML/CSS, Tableau, Excel","Machine Learning, Python, Html, Css, Tableau, Excel",Skills formatting,Standardized delimiters and labels
INT-20021,skills,"SQL, HTML/CSS, Excel, Tableau","SQL, Html, Css, Excel, Tableau",Skills formatting,Standardized delimiters and labels
INT-10371,skills,"Statistics, Excel, SQL, HTML/CSS, Pandas","Statistics, Excel, SQL, Html, Css, Pandas",Skills formatting,Standardized delimiters and labels
INT-20033,skills,"Python, HTML/CSS, Statistics","Python, Html, Css, Statistics",Skills formatting,Standardized delimiters and labels
INT-10088,skills,"Python, HTML/CSS, Statistics, Power BI, Machine Learning, SQL","Python, Html, Css, Statistics, Power BI, Machine Learning, SQL",Skills formatting,Standardized delimiters and labels
INT-10104,skills,"HTML/CSS, Pandas, Data Visualization, Python","Html, Css, Pandas, Data Visualization, Python",Skills formatting,Standardized delimiters and labels
INT-10401,skills,"Communication, Git, HTML/CSS, Data Visualization, Statistics, Python","Communication, Git, Html, Css, Data Visualization, Statistics, Python",Skills formatting,Standardized delimiters and labels
INT-10147,skills,"HTML/CSS, SQL, Excel, Data Visualization","Html, Css, SQL, Excel, Data Visualization",Skills formatting,Standardized delimiters and labels
INT-10215,skills,SQL; git,"SQL, Git",Skills formatting,Standardized delimiters and labels
INT-20006,skills,"Pandas, SQL, Excel, Git, HTML/CSS, Power BI","Pandas, SQL, Excel, Git, Html, Css, Power BI",Skills formatting,Standardized delimiters and labels
INT-10852,skills,powerbi; Pandas; Git,"Power BI, Pandas, Git",Skills formatting,Standardized delimiters and labels
INT-10855,skills,Data Visualization; Git; Power BI; HTML/CSS; Machine Learning; Pandas,"Data Visualization, Git, Power BI, Html, Css, Machine Learning, Pandas",Skills formatting,Standardized delimiters and labels
INT-10060,skills,"Pandas, HTML/CSS, Data Visualization, SQL","Pandas, Html, Css, Data Visualization, SQL",Skills formatting,Standardized delimiters and labels
INT-10251,skills,"Python, SQL, Communication, Statistics, Git, HTML/CSS","Python, SQL, Communication, Statistics, Git, Html, Css",Skills formatting,Standardized delimiters and labels
INT-10328,skills,"HTML/CSS, Data Visualization, Pandas, Git, Machine Learning, Power BI","Html, Css, Data Visualization, Pandas, Git, Machine Learning, Power BI",Skills formatting,Standardized delimiters and labels
INT-10753,skills,"HTML/CSS, Power BI, Statistics, Excel","Html, Css, Power BI, Statistics, Excel",Skills formatting,Standardized delimiters and labels
INT-10557,skills,"Statistics, Power BI, HTML/CSS","Statistics, Power BI, Html, Css",Skills formatting,Standardized delimiters and labels
INT-10360,skills,"Python, SQL, HTML/CSS, Tableau, Statistics, Excel","Python, SQL, Html, Css, Tableau, Statistics, Excel",Skills formatting,Standardized delimiters and labels
INT-10355,skills,Tableau / html/css / Machine Learning / pandas,"Tableau, Html, Css, Machine Learning, Pandas",Skills formatting,Standardized delimiters and labels
INT-20028,skills,"SQL, HTML/CSS, Power BI, Machine Learning","SQL, Html, Css, Power BI, Machine Learning",Skills formatting,Standardized delimiters and labels
INT-10789,skills,"Pandas, HTML/CSS, Python, Tableau, Statistics","Pandas, Html, Css, Python, Tableau, Statistics",Skills formatting,Standardized delimiters and labels
INT-10122,skills,"Data Visualization, Statistics, Python, HTML/CSS","Data Visualization, Statistics, Python, Html, Css",Skills formatting,Standardized delimiters and labels
INT-10548,skills,"HTML/CSS, Git, SQL","Html, Css, Git, SQL",Skills formatting,Standardized delimiters and labels
INT-10747,skills,"Data Visualization, Git, Power BI, Excel, HTML/CSS","Data Visualization, Git, Power BI, Excel, Html, Css",Skills formatting,Standardized delimiters and labels
INT-10323,skills,Git; Tableau; Power BI; Pandas; SQL; Excel,"Git, Tableau, Power BI, Pandas, SQL, Excel",Skills formatting,Standardized delimiters and labels
INT-10524,skills,Python | tableau,"Python, Tableau",Skills formatting,Standardized delimiters and labels
INT-10495,skills,"SQL, HTML/CSS, Git","SQL, Html, Css, Git",Skills formatting,Standardized delimiters and labels
INT-10477,skills,"Communication, Excel, SQL, Git, HTML/CSS, Power BI","Communication, Excel, SQL, Git, Html, Css, Power BI",Skills formatting,Standardized delimiters and labels
INT-10807,skills,HTML/CSS / Data Visualization / SQL / git,"Html, Css, Data Visualization, SQL, Git",Skills formatting,Standardized delimiters and labels
INT-10022,skills,"Machine Learning, Git, Data Visualization, Tableau, HTML/CSS, Python","Machine Learning, Git, Data Visualization, Tableau, Html, Css, Python",Skills formatting,Standardized delimiters and labels
INT-10658,skills,"Power BI, Statistics, HTML/CSS","Power BI, Statistics, Html, Css",Skills formatting,Standardized delimiters and labels
INT-10053,skills,"Excel, Data Visualization, Tableau, Communication, HTML/CSS, Machine Learning","Excel, Data Visualization, Tableau, Communication, Html, Css, Machine Learning",Skills formatting,Standardized delimiters and labels
INT-10606,skills,"Power BI, Pandas, Communication, HTML/CSS, Excel","Power BI, Pandas, Communication, Html, Css, Excel",Skills formatting,Standardized delimiters and labels
INT-10393,skills,"Excel, Tableau, HTML/CSS","Excel, Tableau, Html, Css",Skills formatting,Standardized delimiters and labels
INT-10261,skills,"Pandas, Communication, HTML/CSS, Git, Python","Pandas, Communication, Html, Css, Git, Python",Skills formatting,Standardized delimiters and labels
INT-10163,skills,"HTML/CSS, Python, Excel, SQL","Html, Css, Python, Excel, SQL",Skills formatting,Standardized delimiters and labels
INT-10675,skills,"SQL, Statistics, Machine Learning, Communication, HTML/CSS, Power BI","SQL, Statistics, Machine Learning, Communication, Html, Css, Power BI",Skills formatting,Standardized delimiters and labels
INT-10370,skills,"Data Visualization, Statistics, Power BI, Communication, HTML/CSS","Data Visualization, Statistics, Power BI, Communication, Html, Css",Skills formatting,Standardized delimiters and labels
INT-20040,skills,SQL / git / Tableau,"SQL, Git, Tableau",Skills formatting,Standardized delimiters and labels
INT-10584,skills,"Data Visualization, HTML/CSS, Git, Statistics, Machine Learning","Data Visualization, Html, Css, Git, Statistics, Machine Learning",Skills formatting,Standardized delimiters and labels
INT-10414,skills,"Data Visualization, HTML/CSS, Tableau","Data Visualization, Html, Css, Tableau",Skills formatting,Standardized delimiters and labels
INT-10809,skills,"SQL, HTML/CSS, Power BI, Excel","SQL, Html, Css, Power BI, Excel",Skills formatting,Standardized delimiters and labels
INT-10366,skills,"Statistics, HTML/CSS, SQL, Communication, Machine Learning, Tableau","Statistics, Html, Css, SQL, Communication, Machine Learning, Tableau",Skills formatting,Standardized delimiters and labels
INT-10860,skills,Statistics / Git,"Statistics, Git",Skills formatting,Standardized delimiters and labels
INT-10592,skills,"Power BI, Machine Learning, Git, Statistics, HTML/CSS, Data Visualization","Power BI, Machine Learning, Git, Statistics, Html, Css, Data Visualization",Skills formatting,Standardized delimiters and labels
INT-10568,skills,"Statistics, Power BI, HTML/CSS","Statistics, Power BI, Html, Css",Skills formatting,Standardized delimiters and labels
INT-10419,skills,"Machine Learning, Excel, SQL, HTML/CSS","Machine Learning, Excel, SQL, Html, Css",Skills formatting,Standardized delimiters and labels
INT-10291,skills,"Python, HTML/CSS, SQL, Excel, Machine Learning","Python, Html, Css, SQL, Excel, Machine Learning",Skills formatting,Standardized delimiters and labels
INT-10541,skills,"Data Visualization, HTML/CSS, Git, SQL, Statistics","Data Visualization, Html, Css, Git, SQL, Statistics",Skills formatting,Standardized delimiters and labels
INT-10412,skills,"Python, Git, Statistics, Excel, HTML/CSS","Python, Git, Statistics, Excel, Html, Css",Skills formatting,Standardized delimiters and labels
INT-10443,skills,"Excel, Power BI, HTML/CSS, Pandas, Communication","Excel, Power BI, Html, Css, Pandas, Communication",Skills formatting,Standardized delimiters and labels
INT-10308,skills,"SQL, HTML/CSS, Communication","SQL, Html, Css, Communication",Skills formatting,Standardized delimiters and labels
INT-10857,skills,"HTML/CSS, Communication, Statistics","Html, Css, Communication, Statistics",Skills formatting,Standardized delimiters and labels
INT-10445,skills,"HTML/CSS, Communication","Html, Css, Communication",Skills formatting,Standardized delimiters and labels
INT-10531,skills,"Statistics, Python, SQL, Excel, HTML/CSS, Data Visualization","Statistics, Python, SQL, Excel, Html, Css, Data Visualization",Skills formatting,Standardized delimiters and labels
INT-10513,skills,"Communication, HTML/CSS, Tableau, Power BI, Pandas","Communication, Html, Css, Tableau, Power BI, Pandas",Skills formatting,Standardized delimiters and labels
INT-10828,skills,"HTML/CSS, Pandas, Communication, Power BI","Html, Css, Pandas, Communication, Power BI",Skills formatting,Standardized delimiters and labels
INT-10238,skills,Statistics | sql | Python,"Statistics, SQL, Python",Skills formatting,Standardized delimiters and labels
INT-10520,skills,"Pandas, Machine Learning, SQL, Data Visualization, Tableau, HTML/CSS","Pandas, Machine Learning, SQL, Data Visualization, Tableau, Html, Css",Skills formatting,Standardized delimiters and labels
INT-10066,skills,Excel / sql / git,"Excel, SQL, Git",Skills formatting,Standardized delimiters and labels
INT-10453,skills,Machine Learning; html/css; sql; Python; Statistics; communication,"Machine Learning, Html, Css, SQL, Python, Statistics, Communication",Skills formatting,Standardized delimiters and labels
INT-10055,skills,"HTML/CSS, Data Visualization, Excel, Git","Html, Css, Data Visualization, Excel, Git",Skills formatting,Standardized delimiters and labels
INT-10278,skills,"Communication, Machine Learning, HTML/CSS, Data Visualization, Excel","Communication, Machine Learning, Html, Css, Data Visualization, Excel",Skills formatting,Standardized delimiters and labels
INT-10737,skills,"Git, HTML/CSS, Pandas, Tableau, Communication","Git, Html, Css, Pandas, Tableau, Communication",Skills formatting,Standardized delimiters and labels
INT-10094,skills,"Python, Data Visualization, Statistics, HTML/CSS, Power BI","Python, Data Visualization, Statistics, Html, Css, Power BI",Skills formatting,Standardized delimiters and labels
INT-10210,skills,"Statistics, Pandas, HTML/CSS, Machine Learning, SQL","Statistics, Pandas, Html, Css, Machine Learning, SQL",Skills formatting,Standardized delimiters and labels
INT-10192,skills,"Statistics, HTML/CSS, Communication, Pandas","Statistics, Html, Css, Communication, Pandas",Skills formatting,Standardized delimiters and labels
INT-10151,skills,"Tableau, Excel, HTML/CSS, SQL, Power BI","Tableau, Excel, Html, Css, SQL, Power BI",Skills formatting,Standardized delimiters and labels
INT-20038,skills,"Data Visualization, Statistics, Power BI, Communication, HTML/CSS","Data Visualization, Statistics, Power BI, Communication, Html, Css",Skills formatting,Standardized delimiters and labels
INT-20015,skills,"Communication, Excel, SQL, Git, HTML/CSS, Power BI","Communication, Excel, SQL, Git, Html, Css, Power BI",Skills formatting,Standardized delimiters and labels
INT-10765,skills,"Excel, Data Visualization, Pandas, Tableau, SQL, HTML/CSS","Excel, Data Visualization, Pandas, Tableau, SQL, Html, Css",Skills formatting,Standardized delimiters and labels
INT-10005,skills,"Excel, SQL, Data Visualization, HTML/CSS, Tableau","Excel, SQL, Data Visualization, Html, Css, Tableau",Skills formatting,Standardized delimiters and labels
INT-10799,skills,"Pandas, HTML/CSS, Python, Git, Machine Learning","Pandas, Html, Css, Python, Git, Machine Learning",Skills formatting,Standardized delimiters and labels
INT-10534,skills,"Communication, Machine Learning, Excel, HTML/CSS","Communication, Machine Learning, Excel, Html, Css",Skills formatting,Standardized delimiters and labels
INT-10038,skills,Data Visualization; Pandas,"Data Visualization, Pandas",Skills formatting,Standardized delimiters and labels
INT-10039,skills,Tableau; Power BI; Statistics,"Tableau, Power BI, Statistics",Skills formatting,Standardized delimiters and labels
INT-10517,skills,"HTML/CSS, Power BI, Pandas, Data Visualization","Html, Css, Power BI, Pandas, Data Visualization",Skills formatting,Standardized delimiters and labels
INT-10330,skills,"HTML/CSS, Communication, Power BI, Machine Learning, Python","Html, Css, Communication, Power BI, Machine Learning, Python",Skills formatting,Standardized delimiters and labels
INT-10692,skills,"Git, Machine Learning, HTML/CSS, Tableau, Communication","Git, Machine Learning, Html, Css, Tableau, Communication",Skills formatting,Standardized delimiters and labels
